fid;ID;CD_GEOCODM;NM_MUNICIP;CODIGO;V8Mo;V8d;V8;V1;V2;V3;V4;V5;V6;V7;I_V1;CL_V1;I_V2;CL_V2;I_V3;CL_V3;I_V4;CL_V4;I_V5;CL_V5;I_V6;CL_V6;I_V7;CL_V7;I_V8;CL_V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001;DM2001_2009;HM2001_2009;LTM2001_2009;CMD20012009;CMH20012009;CMLT20012009
54;412;5204854;CAMPO LIMPO DE GOIÁS;5204854;0;0;0;0;0;0;0;0;0;0;0,309618533;0;0,82631349;0;0,913274879;0;3,214122245;0;1,166485876;0;0,153789881;0;0,257046075;0;-0,824630012;0;7,698304882;17,04772152;2,495303058;Baixo;Alto;Medio;334,9241;38,287;3,1418;MuitoAlto;MuitoAlto;Medio
55;413;5204904;CAMPOS BELOS;5204904;17047;4264;4;16,49;80,14;31,14;20,86;77,66;7,08;12,57;-0,420580799;0;-0,147331804;0;-0,195240943;3;1,246449125;1;2,246311624;1;0,233722712;1;1,690178032;1;1,133020499;1;53,5074793;57,10006303;0,852625536;Baixo;Hiperendem;Baixo;296,5195;80,037;16,6625;Alto;Hiperendemico;MuitoAlto
56;414;5204953;CAMPOS VERDES;5204953;8057;2238;3,6;47,36;86,64;59,96;21,92;65,02;13,81;20,06;0,81643216;1;-0,120951658;0;0,841605541;0;0,036681228;0;0,191313873;0;0,126817304;0;-0,282086669;0;0,021453639;0;1345,59279;88,00255857;1,858105363;Hiperendem;Hiperendem;Medio;552,4507;385,39;20,5425;MuitoAlto;Hiperendemico;Hiperendemico
57;415;5205000;CARMO DO RIO VERDE;5205000;7941;2417;3,29;32,11;91,97;36,99;17,85;48,5;5,5;9,56;0,059887161;0;0,270528416;0;-0,040164392;0;-0,005127085;0;0,010094495;0;0,032451794;0;0,007072406;0;0,017571653;0;66,82173761;11,92067901;169,0846563;Baixo;Alto;Hiperendem;91,2585;61,026;38,5891;Baixo;Hiperendemico;Hiperendemico
58;416;5205059;CASTELÂNDIA;5205059;3882;1083;3,58;30,66;20,68;29,27;22,45;62,33;6,22;9,33;0,049266613;0;1,279778765;0;0,289279399;2;-0,17193519;0;-0,206268735;0;0,044988983;2;-0,050446592;0;-0,020687866;0;32,96730071;35,1123896;2,847165627;Baixo;MuitoAlto;Medio;20,0445;44,399;9,8661;Baixo;Hiperendemico;Alto
59;417;5205109;CATALÃO;5205109;64347;18754;3,43;12,99;49,74;13,49;9,76;31,87;2,25;5,99;0,490099908;0;-0,142582839;0;0,396501503;0;1,348426634;2;0,353618242;0;0,332454384;0;0,210625425;0;0,036602462;0;43,20170622;26,8600026;1,729573109;Baixo;MuitoAlto;Medio;40,956;32,549;3,4357;Baixo;MuitoAlto;Medio
60;418;5205208;CATURAÍ;5205208;4330;1235;3,51;37,57;97,49;31,82;19,13;49,08;3,07;2,27;-0,060368805;0;-0,250176339;0;0,11617196;2;-0,065711709;0;-0,002036541;0;0,193025954;0;0,146850839;0;4,56142E-05;0;52,15868656;63,16368661;19,14029584;Baixo;Hiperendem;MuitoAlto;52,8825;65,454;3,5277;Baixo;Hiperendemico;Medio
61;419;5205307;CAVALCANTE;5205307;9150;2214;4,13;52,71;29,99;63,01;44,02;79,02;14,6;22,54;-0,309857828;0;0,586679609;0;0,290660012;0;4,801268029;1;2,74973289;1;2,642741585;1;4,699649566;1;1,020692094;1;4,066155799;36,38693706;28,80685676;Baixo;MuitoAlto;Hiperendem;9,1204;31,828;16,0744;Baixo;MuitoAlto;MuitoAlto
62;420;5205406;CERES;5205406;22209;6312;3,52;17,93;83,52;20,56;11,98;38,5;3,92;8,03;0,66977079;0;-0,067783179;0;0,208634799;0;0,846092804;2;0,468665443;2;0,151588142;0;0,029448587;0;-0,09042373;4;89,09944373;223,1494585;53,12432692;Baixo;Hiperendem;Hiperendem;517,8817;96,456;18,7297;MuitoAlto;Hiperendemico;MuitoAlto
63;421;5205455;CEZARINA;5205455;6514;1834;3,55;27,1;32,88;32,99;14,24;60,75;5,21;6,27;-0,154583877;0;-1,392797714;3;0,003628393;0;0,140219115;0;-0,18974224;0;0,167452153;2;0,325599126;2;-0,03713621;0;5,66159087;114,7280592;1,954290718;Baixo;Hiperendem;Medio;69,6745;86,273;5,0896;Baixo;Hiperendemico;Alto
