ID;CD_GEOCODM;NM_MUNICIP;V8Mo;V8d;V1;V2;V3;V4;V5;V6;V7;V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001
476;5210802;ITAJÁ;6572;1944;37.5;48.71;35.7;17.32;32.59;3.3;9.26;3.38;40.27793989;15.09926626;42.60919794;Baixo;Baixo;Medio
477;5210901;ITAPACI;13931;3938;35.37;75.77;32.78;16.57;45.95;4.45;6.3;3.54;9.6743716;56.11679487;7.347394141;Baixo;Baixo;Baixo
478;5211008;ITAPIRAPUÃ;10856;3017;38.58;84.02;45.97;19.23;50.33;7.76;11.37;3.6;12.18542487;16.41816978;1.26148905;Baixo;Baixo;Baixo
479;5211206;ITAPURANGA;26740;7879;28.43;92.23;36.3;18.26;48.23;6.62;9.66;3.39;35.10221144;49.29035394;18.28235226;Baixo;Baixo;Medio
480;5211305;ITARUMÃ;5446;1669;52.01;60.22;51.17;17.74;48.65;4.34;3.06;3.26;60.22393948;41.61736477;30.36681678;Baixo;Baixo;Medio
481;5211404;ITAUÇU;8277;2450;22.2;94.53;22.69;15.51;40.98;5.8;5.76;3.38;28.62476471;165.0786111;1.650992539;Baixo;Alto;Baixo
482;5211503;ITUMBIARA;81430;24216;27.38;34.77;9.96;12.51;34.15;2.9;6.66;3.36;243.4480526;21.57509669;7.352683738;Medio;Baixo;Baixo
483;5211602;IVOLÂNDIA;2992;971;48.51;75.28;58.19;20.29;44.87;8.06;4.43;3.08;74.32648047;41.6892483;3.447590451;Baixo;Baixo;Baixo
484;5211701;JANDAIA;6342;1984;36.9;81.8;28.33;13.99;50.51;8.38;6.85;3.2;37.3223324;37.83994705;2.057321165;Baixo;Baixo;Baixo
485;5211800;JARAGUÁ;33284;9248;33.16;82.57;33.13;15.53;49.15;3.16;9.47;3.6;59.7525775;66.86324753;8.879048638;Baixo;Medio;Baixo
486;5211909;JATAÍ;75451;21395;23.53;35.99;22.93;12.79;45.33;4.48;7.16;3.53;65.25646538;69.61884602;20.53384406;Baixo;Medio;Medio
487;5212006;JAUPACI;3154;955;25.55;89.32;29.21;19.21;60.79;8.73;13.09;3.3;11.41142274;40.40870837;23.83438729;Baixo;Baixo;Medio
488;5212055;JESÚPOLIS;2123;602;40.37;95.85;31.56;20.06;61.34;4.02;3.49;3.53;101.4910108;27.240113;4.216861006;Baixo;Baixo;Baixo
489;5212105;JOVIÂNIA;6904;2093;24.46;95.27;16.39;14.4;34.58;4.78;8.41;3.3;102.798358;45.38520936;1.869446071;Baixo;Baixo;Baixo
490;5212204;JUSSARA;20034;5840;25.62;82.05;32.36;17.54;49.13;5.32;9.3;3.43;16.79821521;275.1584513;9.986445327;Baixo;Alto;Baixo
491;5212253;LAGOA SANTA;0;0;0;0;0;0;0;0;0;0;33.44481363;37.2985484;6.121960217;Baixo;Baixo;Baixo
492;5212303;LEOPOLDO DE BULHÕES;7766;2236;35.55;87.48;40.88;16.24;33.49;4.53;7.96;3.47;4.810129337;21.87279938;1.70670994;Baixo;Baixo;Baixo
493;5212501;LUZIÂNIA;141082;35832;61.02;78.04;28.7;16.26;59.09;6.87;12.51;3.94;80.2977678;26.00650715;1.439852386;Baixo;Baixo;Baixo
494;5212600;MAIRIPOTABA;2403;759;35.57;80.76;36.1;16.58;35.1;1.13;3.56;3.17;53.35949168;25.81082834;3.963585268;Baixo;Baixo;Baixo
495;5212709;MAMBAÍ;4838;1119;10.9;61.3;63.36;28.98;78.16;11.75;11.26;4.32;7.481613749;44.31777388;77.6206721;Baixo;Baixo;Alto
496;5212808;MARA ROSA;11939;3368;32.93;74.52;43.14;20.19;49.35;6.44;8.02;3.54;44.64265815;36.8065483;8.570088577;Baixo;Baixo;Baixo
497;5212907;MARZAGÃO;1920;562;13.88;96.62;14.41;16.29;15.96;2.48;5.69;3.42;153.2300628;28.1330432;31.34062279;Medio;Baixo;Medio
498;5212956;MATRINCHÃ;4520;1286;32.43;81.8;34.45;20.22;52.5;2.6;6.84;3.51;28.71090844;104.2314975;2.566713253;Baixo;Medio;Baixo
499;5213004;MAURILÂNDIA;8969;2592;16.55;94.79;11.3;21.48;54.52;2.82;4.24;3.46;4.091624957;80.00861091;10.64535963;Baixo;Medio;Baixo
500;5213053;MIMOSO DE GOIÁS;2801;752;60.24;70.88;65.16;28.29;69.48;12.2;20.08;3.72;219.4779331;124.1673985;26.36448225;Medio;Alto;Medio
501;5213087;MINAÇU;33608;9004;16.66;75;18.74;15.68;58.28;9.02;14.56;3.73;104.1103604;108.6742644;34.27195603;Baixo;Medio;Medio
502;5213103;MINEIROS;39024;10642;12.11;26.6;13.18;15.02;48.45;4.62;5.95;3.67;113.3038649;40.83218786;14.82909403;Baixo;Baixo;Baixo
503;5213400;MOIPORÁ;2023;646;36.07;93.5;56.35;16.36;42.39;2.04;1.08;3.13;17.35776093;213.5725412;4.364235317;Baixo;Alto;Baixo
504;5213509;MONTE ALEGRE DE GOIÁS;6892;1668;46.28;61.21;66.55;27.6;70.06;23.56;27.7;4.13;5.50471442;101.2834562;1.909690712;Baixo;Medio;Baixo
505;5213707;MONTES CLAROS DE GOIÁS;7991;2414;46.11;91.92;51.78;17.57;42.46;3.55;3.44;3.31;16.96893306;206.7987083;63.76772378;Baixo;Alto;Alto
506;5213756;MONTIVIDIU;7736;2140;34.77;89.67;31.12;16.2;30.52;4.05;6.45;3.61;53.51082194;31.20433262;42.93404398;Baixo;Baixo;Medio
507;5213772;MONTIVIDIU DO NORTE;3789;889;52.19;32.85;67.72;23.05;53.43;37.56;34.42;4.26;9.230457836;19.30809128;126.2147042;Baixo;Baixo;Alto
508;5213806;MORRINHOS;36990;11549;17.58;68.08;13.74;13.34;37.81;2.98;5.81;3.2;40.82811245;70.92351515;13.17503451;Baixo;Medio;Baixo
509;5213855;MORRO AGUDO DE GOIÁS;2489;773;35.45;86.42;42.43;15.96;67.4;11.71;4.27;3.22;14.20920546;46.00186329;146.3138582;Baixo;Baixo;Alto
510;5213905;MOSSÂMEDES;5798;1715;36.27;85.66;49.56;16.83;38.13;6.72;8.05;3.38;6.55410324;52.80860296;2.199777841;Baixo;Baixo;Baixo
511;5214002;MOZARLÂNDIA;11186;2968;33.76;90.33;36.08;18.68;55.32;3.87;5.69;3.77;20.80894915;252.3724837;16.68119577;Baixo;Alto;Baixo
512;5214051;MUNDO NOVO;8109;2095;56.9;82;66.25;22.04;68.67;5.36;8.78;3.87;4.438430307;122.5950626;1.594244725;Baixo;Alto;Baixo
513;5214101;MUTUNÓPOLIS;3958;1141;41.89;72.57;41.54;22.4;63.06;5.1;10.87;3.47;9.241524573;19.32350715;20.50077435;Baixo;Baixo;Medio
514;5214408;NAZÁRIO;6631;2000;17.85;93.6;16.95;14.31;15.92;7.89;7.7;3.32;250.967222;113.2016432;1.926460822;Medio;Medio;Baixo
515;5214507;NERÓPOLIS;18578;4943;22.68;91.38;10.14;14.54;53.6;1.41;1.98;3.76;114.8831944;121.4701885;0.773598689;Baixo;Alto;Baixo
